End Time;Logon_type;Name;Attacker Address;Target Address;Destination User ID;Destination User Name;Source Process Name;Destination Process Name;Device Custom String4;File Hash;Priority;Device Host Name;Device Address;Device Vendor;Device Product
02.04.2021 11:19:58;3;An account was logged off.;;172.20.21.32;0x146931996e;night-city-TM05$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:56;3;An account was successfully logged on.;;172.20.21.32;0x14697cc202;night-city-RDS03$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:56;3;An account was logged off.;;172.20.21.32;0x146930f70b;KHV-JIVS$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:55;3;An account was logged off.;;172.20.21.32;0x14693af527;night-city-SQL01$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:55;3;An account was logged off.;;172.20.21.32;0x14693f2f92;KHV-JIVS$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:53;3;An account was successfully logged on.;;172.20.21.32;0x14697be2c2;night-city-RDCB02$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:51;3;An account was successfully logged on.;;172.20.21.32;0x14697b9da1;FarEast-MCONT02$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:50;3;An account was logged off.;;172.20.21.32;0x14691ee1a2;night-city-CA01$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:48;3;An account was successfully logged on.;;172.20.21.32;0x14697ab96a;night-city-CA01$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:46;3;An account was successfully logged on.;;172.20.21.32;0x14697a3386;night-city-TM04$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:46;0;Process Created;;172.20.21.32;0x3e7;SYSTEM;c:\windows\system32\svchost.exe;c:\windows\system32\wbem\wmiprvse.exe;C:\Windows\system32\wbem\wmiprvse.exe -Embedding;e1bce838cd2695999ab34215bf94b501;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Windows Sysmon
02.04.2021 11:19:44;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:44;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:44;3;An account was logged off.;;172.20.21.32;0x14693cbcad;CTF2021;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:44;3;An account was logged off.;;172.20.21.32;0x14692e4dd2;CTF2021;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:44;3;An account was logged off.;;172.20.21.32;0x14692e3c26;night-city-RDS03$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:43;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:43;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:43;3;An account was successfully logged on.;;172.20.21.32;0x1469792557;night-city-TM05$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:43;3;An account was successfully logged on.;;172.20.21.32;0x1469792532;night-city-PTS01$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:42;3;An account was logged off.;;172.20.21.32;0x14692dfd4d;night-city-DC01$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:42;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:42;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:41;3;An account was successfully logged on.;;172.20.21.32;0x146978ef75;KHV-JIVS$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:41;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:41;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:40;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:40;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:40;3;An account was successfully logged on.;;172.20.21.32;0x146978a26f;night-city-SQL01$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:40;3;An account was logged off.;;172.20.21.32;0x14692d3128;night-city-DNS02$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:40;3;An account was successfully logged on.;;172.20.21.32;0x1469788eb1;KHV-JIVS$;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:40;3;An account was logged off.;;172.20.21.32;0x14693916b2;night-city-FINCRT$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:40;3;An account was logged off.;;172.20.21.32;0x14693916ba;night-city-FINCRT$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:39;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:39;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:38;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:38;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:37;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:37;;An operation was attempted on a privileged object.;;172.20.21.32;0x5eb8ee5c;cyberpunk;;C:\Windows\System32\wbem\WmiPrvSE.exe;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:37;;Permissions on an object were changed.;;172.20.21.32;0x3e7;night-city-CONN02$;;;"D:(A;;GA;;;SY)(A;;GA;;;NS)";;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:37;;Permissions on an object were changed.;;172.20.21.32;0x3e7;night-city-CONN02$;;;"D:(A;;GA;;;SY)(A;;GA;;;LS)";;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:37;0;Process Created;;172.20.21.32;0x3e5;LOCAL SERVICE;c:\windows\system32\svchost.exe;c:\windows\system32\wbem\wmiprvse.exe;C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding;e1bce838cd2695999ab34215bf94b501;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Windows Sysmon
02.04.2021 11:19:37;;Permissions on an object were changed.;;172.20.21.32;0x3e7;night-city-CONN02$;;;"D:(A;;GA;;;SY)(A;;GA;;;NS)";;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:37;3;An account was logged off.;;172.20.21.32;0x146938c705;night-city-SQL02$;;;;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
02.04.2021 11:19:30;3;An account was successfully logged on.;;172.20.21.32;0x1469762bcb;CTF2021;;-;-;;3;night-city-conn02.ARASAKA;172.20.21.32;Microsoft;Microsoft Windows
