time;text;src.ip;src.port;src.geo.org;dst.ip;dst.port;dst.geo.org;assigned_dst_ip;protocol;action;status;reason;subject;subject.group;subject.name;subject.id;event_src.vendor;event_src.subsys
20.03.2021 5:31:52;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.253 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;45707;WiFi_NET;192.168.31.253;256;WiFi_NET;192.168.31.251;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;34968;WiFi_NET;192.168.31.252;32776;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;39759;WiFi_NET;192.168.31.252;8254;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;50980;WiFi_NET;192.168.31.252;8093;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;43687;WiFi_NET;192.168.31.252;7496;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;49611;WiFi_NET;192.168.31.252;12265;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;45395;WiFi_NET;192.168.31.252;5678;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;40556;WiFi_NET;192.168.31.252;5952;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;41841;WiFi_NET;192.168.31.252;33354;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;50241;WiFi_NET;192.168.31.252;65129;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.253 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;48301;WiFi_NET;192.168.31.253;900;WiFi_NET;192.168.31.251;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;51645;WiFi_NET;192.168.31.252;40193;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;52545;WiFi_NET;192.168.31.252;1720;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;46382;WiFi_NET;192.168.31.252;2399;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;54967;WiFi_NET;192.168.31.252;20005;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
20.03.2021 5:31:51;"Соединение по протоколу tcp с узла 192.168.31.239 на узел 192.168.31.252 разрешено правилом ""WiFi Inet Access:38""";192.168.31.239;40356;WiFi_NET;192.168.31.252;5222;WiFi_NET;;tcp;allow;success;;rule;2018-05-15;WiFi Inet Access;38;checkpoint;VPN-1 & FireWall-1
